player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,primary_position
11,https://sofifa.com/player/11/romain-rocchi/150002,15.0,2.0,2014-09-18,R. Rocchi,Romain Rocchi,"CM, CDM",68,68,675000.0,8000.0,32,1981-10-02,183,75,68.0,Metz,16.0,Ligue 1,1.0,RDM,7.0,,2013-07-01,2015.0,18,France,,,,Right,3,3,1,Medium/High,Normal (170-185),No,,,Finesse Shot,52.0,62.0,69.0,68.0,56.0,69.0,64,54,60,73,61,65,69,49,69,73,53,52,74,68,63,72,70,54,79,71,63,63,64,72,65,,46,59,57,6,7,10,7,12,,63,63,63,66,66,66,66,66,69-1,69-1,69-1,66,68,68,68,66,62,65,65,65,62,60,62,62,62,60,12,CM
2147,https://sofifa.com/player/2147/maarten-stekelenburg/150002,15.0,2.0,2014-09-18,M. Stekelenburg,Maarten Stekelenburg,GK,77,77,4700000.0,50000.0,31,1982-09-22,197,92,69.0,Monaco,16.0,Ligue 1,1.0,SUB,16.0,Fulham,,2015.0,34,Netherlands,,,,Right,4,1,2,Medium/Medium,Lean (185+),No,,,,,,,,,,25,25,25,38,25,25,25,25,36,30,35,45,35,72,27,25,55,30,77,25,40,25,25,25,22,,25,25,25,80,74,81,75,78,41.0,33,33,33,32,32,32,32,32,32,32,32,33,33,33,33,33,32,37,37,37,32,32,36,36,36,32,77,GK
2488,https://sofifa.com/player/2488/zoumana-camara/150002,15.0,2.0,2014-09-18,Z. Camara,Zoumana Camara,CB,73,73,400000.0,45000.0,35,1979-04-03,182,76,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,SUB,6.0,,2007-01-01,2015.0,18,France,,,,Right,3,2,2,Low/Medium,Normal (170-185),Yes,,,,59.0,35.0,55.0,59.0,73.0,71.0,42,27,74,70,30,54,49,33,53,63,53,63,62,67,62,57,84,55,76,30,75,64,22,52,50,,76,77,72,14,10,11,8,12,,48,48,48,51,49,49,49,51,52,52,52,54,56,56,56,54,64,66,66,66,64,67,73,73,73,67,14,CB
4985,https://sofifa.com/player/4985/jerome-leroy/150002,15.0,2.0,2014-09-18,J. Leroy,Jérôme Leroy,CAM,70,70,170000.0,15000.0,39,1974-11-04,185,75,1738.0,Le Havre,17.0,Ligue 1,2.0,CAM,4.0,,2014-08-22,2015.0,18,France,,,,Right,4,3,2,Medium/Medium,Lean (185+),No,,,Playmaker (AI),56.0,63.0,74.0,70.0,32.0,53.0,74,64,59,77,73,71,70,67,70,74,59,54,56,67,57,69,64,43,57,51,53,47,68,75,71,,23,24,28,9,5,9,8,6,,65,65,65,69,66,66,66,69,70,70,70,69,65,65,65,69,52,56,56,56,52,48,44,44,44,48,11,CAM
5208,https://sofifa.com/player/5208/rudy-riou/150002,15.0,2.0,2014-09-18,R. Riou,Rudy Riou,GK,68,68,650000.0,5000.0,34,1980-01-22,185,78,64.0,Lens,16.0,Ligue 1,1.0,GK,1.0,,2012-07-01,2021.0,18,France,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,25,25,25,26,25,25,25,25,20,21,40,41,54,65,57,28,60,31,62,25,31,25,25,25,30,,25,25,25,67,68,61,70,71,41.0,31,31,31,30,30,30,30,30,30,30,30,30,28,28,28,30,30,31,31,31,30,30,32,32,32,30,68,GK
11791,https://sofifa.com/player/11791/sylvain-marchal/150002,15.0,2.0,2014-09-18,S. Marchal,Sylvain Marchal,CB,72,72,750000.0,15000.0,34,1980-02-10,184,83,68.0,Metz,16.0,Ligue 1,1.0,RCB,4.0,,2013-07-05,2015.0,18,France,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,"Leadership, Power Header",39.0,41.0,57.0,45.0,73.0,71.0,51,31,72,65,44,35,37,36,67,58,33,44,34,71,57,61,81,55,77,43,72,74,24,54,53,,73,72,74,14,9,7,10,5,,47,47,47,46,48,48,48,46,49,49,49,51,57,57,57,51,62,67,67,67,62,67,72,72,72,67,13,CB
18919,https://sofifa.com/player/18919/steed-malbranque/150002,15.0,2.0,2014-09-18,S. Malbranque,Steed Malbranque,"CM, CDM, CAM",72,72,1100000.0,25000.0,34,1980-01-06,171,75,66.0,Olympique Lyonnais,16.0,Ligue 1,1.0,SUB,17.0,,2012-08-01,2016.0,18,France,,,,Right,3,3,2,Medium/Medium,Normal (170-185),No,,,,48.0,56.0,77.0,76.0,61.0,64.0,73,50,48,80,68,73,71,72,77,79,49,48,76,68,86,55,69,50,66,63,77,69,66,80,69,,57,66,55,5,7,6,14,11,,60,60,60,70,64,64,64,70,71,71,71,71,72,72,72,71,67,71,71,71,67,64,64,64,64,64,13,CM
30110,https://sofifa.com/player/30110/dimitar-berbatov/150002,15.0,2.0,2014-09-18,D. Berbatov,Dimitar Ivanov Berbatov,"ST, CAM",81,81,7500000.0,50000.0,33,1981-01-30,189,75,69.0,Monaco,16.0,Ligue 1,1.0,ST,10.0,,2014-01-31,2015.0,9,Bulgaria,,,,Right,3,4,3,Low/Low,Lean (185+),Yes,,#Poacher,"Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot",64.0,82.0,80.0,80.0,32.0,62.0,78,85,84,85,86,82,78,65,76,86,59,68,69,71,52,83,75,55,73,70,42,28,85,82,86,,25,25,25,15,6,9,8,15,,80+1,80+1,80+1,79+1,80+1,80+1,80+1,79+1,81,81,81,78+1,71+1,71+1,71+1,78+1,56+1,59+1,59+1,59+1,56+1,50+1,48+1,48+1,48+1,50+1,15+1,ST
40900,https://sofifa.com/player/40900/souleymane-diawara/150002,15.0,2.0,2014-09-18,S. Diawara,Souleymane Diawara,CB,72,72,400000.0,15000.0,35,1978-12-24,187,88,72.0,Nice,16.0,Ligue 1,1.0,SUB,20.0,,2014-08-05,2019.0,136,Senegal,,,,Right,2,2,3,Medium/Medium,Normal (185+),Yes,,,"Dives Into Tackles (AI), Power Header",60.0,42.0,55.0,49.0,71.0,75.0,46,41,68,63,29,37,38,35,59,63,54,64,55,66,52,58,72,61,80,39,80,71,21,58,39,,71,71,72,8,8,8,5,13,,49+1,49+1,49+1,50+1,50+1,50+1,50+1,50+1,51+1,51+1,51+1,53+1,56+1,56+1,56+1,53+1,63+1,67+1,67+1,67+1,63+1,67+1,71+1,71+1,71+1,67+1,12+1,CB
41674,https://sofifa.com/player/41674/sylvain-armand/150002,15.0,2.0,2014-09-18,S. Armand,Sylvain Armand,CB,74,74,1500000.0,25000.0,33,1980-08-01,182,82,74.0,Rennes,16.0,Ligue 1,1.0,LCB,22.0,,2013-07-01,2015.0,18,France,,,,Left,3,2,2,Medium/High,Normal (170-185),Yes,,,,61.0,55.0,70.0,62.0,74.0,73.0,65,48,70,79,56,56,66,72,79,70,54,66,64,75,61,73,71,68,78,55,69,72,48,51,60,,74,77,76,9,8,10,7,5,,60,60,60,62,61,61,61,62,62,62,62,65,67,67,67,65,71,73,73,73,71,72,74,74,74,72,11,CB
